"event_cohort_name1","event_cohort_name2","event_cohort_name3","event_cohort_name4","index_year","freq"
"donepezil","donepezil+rivastigmine",NA,NA,2001,10
"rivastigmine",NA,NA,NA,2003,120
"donepezil","donepezil+rivastigmine",NA,NA,2017,35
"donepezil","donepezil+memantine",NA,NA,2002,19
"rivastigmine","donepezil+rivastigmine",NA,NA,2014,13
"galantamine",NA,NA,NA,2016,116
"rivastigmine","donepezil+rivastigmine",NA,NA,2008,8
"donepezil",NA,NA,NA,1997,58
"donepezil","donepezil+galantamine","donepezil+galantamine+memantine",NA,2017,7
"donepezil",NA,NA,NA,1998,75
"donepezil+rivastigmine",NA,NA,NA,2014,9
"galantamine",NA,NA,NA,2015,141
"galantamine","donepezil+galantamine","donepezil+galantamine+memantine",NA,2009,4
"galantamine","galantamine+memantine",NA,NA,2003,12
"galantamine","donepezil+galantamine",NA,NA,2011,15
"donepezil+rivastigmine",NA,NA,NA,2016,8
"donepezil+galantamine",NA,NA,NA,2016,6
"donepezil","donepezil+galantamine",NA,NA,2009,23
"galantamine","donepezil+galantamine","donepezil+galantamine+memantine",NA,2012,2
"rivastigmine","memantine+rivastigmine",NA,NA,2016,24
"galantamine","galantamine+memantine",NA,NA,2006,32
"donepezil","donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,2015,8
"galantamine","donepezil+galantamine",NA,NA,2012,10
"galantamine","galantamine+rivastigmine",NA,NA,2014,9
"memantine","memantine+rivastigmine",NA,NA,2018,9
"galantamine","galantamine+rivastigmine",NA,NA,2008,14
"rivastigmine","memantine+rivastigmine",NA,NA,2007,10
"donepezil+memantine",NA,NA,NA,2012,24
"donepezil","donepezil+rivastigmine",NA,NA,2005,10
"donepezil","donepezil+galantamine",NA,NA,2014,36
"donepezil","donepezil+rivastigmine",NA,NA,2007,15
"rivastigmine",NA,NA,NA,2020,47
"donepezil","donepezil+memantine",NA,NA,2007,75
"donepezil","donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,2016,12
"galantamine","galantamine+rivastigmine",NA,NA,2019,2
"donepezil","donepezil+galantamine",NA,NA,2010,30
"memantine","memantine+rivastigmine",NA,NA,2008,8
"galantamine","donepezil+galantamine",NA,NA,2004,23
"galantamine","galantamine+rivastigmine",NA,NA,2009,18
"donepezil","donepezil+memantine","donepezil+memantine+rivastigmine",NA,2018,1
"donepezil",NA,NA,NA,1996,27
"donepezil+galantamine","donepezil+galantamine+memantine",NA,NA,2013,3
"rivastigmine","memantine+rivastigmine",NA,NA,2017,20
"rivastigmine",NA,NA,NA,2006,128
"galantamine","galantamine+rivastigmine",NA,NA,2013,10
"memantine","memantine+rivastigmine",NA,NA,2013,10
"donepezil","donepezil+galantamine",NA,NA,2004,37
"galantamine","galantamine+memantine",NA,NA,2007,30
"rivastigmine","memantine+rivastigmine",NA,NA,2008,21
"galantamine+memantine",NA,NA,NA,2012,5
"donepezil","donepezil+memantine",NA,NA,2005,55
"galantamine","donepezil+galantamine","donepezil+galantamine+rivastigmine",NA,2007,3
"donepezil","donepezil+galantamine","donepezil+galantamine+memantine",NA,2007,5
"rivastigmine","donepezil+rivastigmine",NA,NA,2004,12
"rivastigmine",NA,NA,NA,1998,7
"galantamine","galantamine+memantine",NA,NA,2010,37
"donepezil","donepezil+memantine",NA,NA,2004,46
"memantine",NA,NA,NA,2002,32
"donepezil","donepezil+galantamine","donepezil+galantamine+rivastigmine",NA,2010,4
"memantine","donepezil+memantine",NA,NA,2015,13
"donepezil+memantine",NA,NA,NA,2015,23
"memantine+rivastigmine",NA,NA,NA,2011,2
"rivastigmine","donepezil+rivastigmine",NA,NA,2018,5
"rivastigmine","donepezil+rivastigmine",NA,NA,2002,9
"memantine",NA,NA,NA,2003,69
"donepezil","donepezil+galantamine+memantine",NA,NA,2012,2
"donepezil","donepezil+rivastigmine",NA,NA,2008,20
"donepezil","donepezil+rivastigmine",NA,NA,1997,4
"donepezil","donepezil+rivastigmine",NA,NA,2006,18
"donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,NA,2010,1
"donepezil","donepezil+rivastigmine","donepezil+galantamine+rivastigmine",NA,2009,4
"donepezil+memantine",NA,NA,NA,2008,7
"donepezil","donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,2009,8
"rivastigmine","galantamine+rivastigmine",NA,NA,2011,5
"donepezil","donepezil+rivastigmine",NA,NA,2002,10
"donepezil","donepezil+rivastigmine",NA,NA,2009,42
"rivastigmine","memantine+rivastigmine",NA,NA,2009,27
"galantamine","galantamine+rivastigmine",NA,NA,2006,9
"rivastigmine","donepezil+rivastigmine","donepezil+galantamine+rivastigmine",NA,2003,1
"donepezil","donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,2010,9
"memantine+rivastigmine",NA,NA,NA,2018,2
"memantine+rivastigmine",NA,NA,NA,2008,2
"donepezil+rivastigmine",NA,NA,NA,2004,2
"galantamine+memantine",NA,NA,NA,2008,8
"galantamine","galantamine+memantine",NA,NA,2016,10
"memantine","memantine+rivastigmine",NA,NA,2009,4
"galantamine","donepezil+galantamine","donepezil+galantamine+memantine",NA,2001,1
"donepezil","donepezil+rivastigmine","donepezil+galantamine+rivastigmine","donepezil+galantamine+memantine+rivastigmine",2015,2
"donepezil","donepezil+rivastigmine",NA,NA,2003,15
"donepezil","donepezil+rivastigmine",NA,NA,2019,37
"galantamine","galantamine+rivastigmine",NA,NA,2012,8
"rivastigmine","donepezil+rivastigmine",NA,NA,2009,18
"donepezil","donepezil+memantine+rivastigmine",NA,NA,2014,1
"donepezil","donepezil+galantamine","donepezil+galantamine+rivastigmine",NA,2013,5
"galantamine","galantamine+memantine",NA,NA,2002,8
"memantine","donepezil+memantine",NA,NA,2014,16
"galantamine","donepezil+galantamine+memantine",NA,NA,2004,1
"galantamine","galantamine+memantine","donepezil+galantamine+memantine",NA,2019,1
"donepezil","donepezil+galantamine","donepezil+galantamine+memantine",NA,2009,10
"memantine","memantine+rivastigmine",NA,NA,2014,13
"donepezil+memantine",NA,NA,NA,2014,28
"donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,NA,2016,4
"galantamine","galantamine+memantine",NA,NA,2008,39
"donepezil+galantamine",NA,NA,NA,2009,7
"galantamine",NA,NA,NA,2000,28
"memantine","memantine+rivastigmine",NA,NA,2015,10
"rivastigmine","donepezil+rivastigmine","donepezil+galantamine+rivastigmine",NA,2009,1
"galantamine","donepezil+galantamine",NA,NA,2002,8
"galantamine","donepezil+galantamine",NA,NA,2015,4
"donepezil+galantamine",NA,NA,NA,2012,3
"donepezil","donepezil+galantamine","donepezil+galantamine+memantine",NA,2016,6
"galantamine","donepezil+galantamine+rivastigmine",NA,NA,2018,1
"donepezil","donepezil+galantamine",NA,NA,2003,14
"memantine","galantamine+memantine",NA,NA,2014,1
"donepezil+rivastigmine",NA,NA,NA,2019,8
"memantine","donepezil+memantine",NA,NA,2016,8
"rivastigmine","memantine+rivastigmine",NA,NA,2015,32
"donepezil+galantamine",NA,NA,NA,2017,4
"galantamine","donepezil+galantamine",NA,NA,2009,24
"donepezil","donepezil+galantamine",NA,NA,2019,20
"rivastigmine","memantine+rivastigmine",NA,NA,2014,37
"memantine","memantine+rivastigmine",NA,NA,2011,5
"rivastigmine",NA,NA,NA,1999,11
"rivastigmine","memantine+rivastigmine",NA,NA,2011,44
"memantine","memantine+rivastigmine",NA,NA,2010,6
"donepezil+rivastigmine",NA,NA,NA,2009,4
"donepezil+memantine",NA,NA,NA,2019,18
"donepezil","donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,2012,12
"galantamine","galantamine+memantine",NA,NA,2015,14
"galantamine","galantamine+rivastigmine",NA,NA,2005,4
"memantine",NA,NA,NA,2001,32
"donepezil+memantine",NA,NA,NA,2011,18
"donepezil","donepezil+galantamine","donepezil+galantamine+memantine",NA,2013,8
"rivastigmine","donepezil+rivastigmine",NA,NA,2015,12
